code,name,issue,suggestion
603601,再升科技,玻纤过滤材料（洁净室耗材）被标「半导体设备」,改「半导体材料」或删（报告给两个选项，需定口径）
300260,新莱应材,高洁净管件材料/零部件被标「半导体设备」,改「半导体材料」或新增「半导体零部件」（报告给两个选项）
688709,成都华微,特种IC（FPGA/ADC为主）被标「存储芯片-DRAM」,改「算力芯片」或删DRAM标签（报告给两个选项）
300302,同有科技,存储系统（磁盘阵列）非芯片，被标「存储芯片」,删或单列「存储系统」（报告给两个选项）
688228,开普云,政务软件主业，跨界并购存储资产,跟踪并购落地，未落地则删
002685,华东重机,港机跨界收购GPU（锐信图芯）,"保留但标注""跨界"""
600246,万通发展,地产跨界收购AI芯片资产,"跟踪交易进度，标注""跨界"""
000066,中国长城,信创整机，飞腾在体外,复核，报告倾向删
000063,中兴通讯,通信设备主业（有自研芯片）,边缘，可保留
300475,香农芯创,存储分销（SK海力士代理）被标「存储芯片」,"建议细化""存储分销"""
300857,协创数据,存储设备制造（SSD/HDD）+算力租赁被标「存储芯片」,"建议改""存储设备""或删"
300991,创益通,连接器（存储模组供应链）被标「存储芯片」,"建议改""半导体零部件""或删"
600171,上海贝岭,模拟芯片为主（电源管理/计量）被标「功率半导体」,"建议改""模拟芯片"""
002129,TCL中环,光伏主业、半导体材料为辅,"统一口径：保留但接受""泛硅材料""口径，或加占比门槛"
603260,合盛硅业,光伏主业、半导体材料为辅,"统一口径：保留但接受""泛硅材料""口径，或加占比门槛"
688503,聚和材料,光伏主业、半导体材料为辅,"统一口径：保留但接受""泛硅材料""口径，或加占比门槛"
300554,三超新材,光伏主业、半导体材料为辅,"统一口径：保留但接受""泛硅材料""口径，或加占比门槛"
300037,新宙邦,副业/参股关联（氟化学品、参股光刻胶、PCB光刻胶为主）,"边缘可留，建议标注""参股/副业"""
603306,华懋科技,副业/参股关联（氟化学品、参股光刻胶、PCB光刻胶为主）,"边缘可留，建议标注""参股/副业"""
300576,容大感光,副业/参股关联（氟化学品、参股光刻胶、PCB光刻胶为主）,"边缘可留，建议标注""参股/副业"""
600619,海立股份,泛半导体配套设备（冷却配套）被标「半导体设备」,"建议单列""半导体配套设备""与核心工艺设备区分"
300786,国林科技,泛半导体配套设备（臭氧设备）被标「半导体设备」,"建议单列""半导体配套设备""与核心工艺设备区分"
688376,美埃科技,泛半导体配套设备（洁净空气设备）被标「半导体设备」,"建议单列""半导体配套设备""与核心工艺设备区分"
000551,创元科技,泛半导体配套设备（苏净洁净设备）被标「半导体设备」,"建议单列""半导体配套设备""与核心工艺设备区分"
300457,赢合科技,锂电设备/电机/传感器/机器视觉/光测仪器，半导体业务边缘,逐只复核，报告倾向删或单列配套
301226,祥明智能,锂电设备/电机/传感器/机器视觉/光测仪器，半导体业务边缘,逐只复核，报告倾向删或单列配套
688665,四方光电,锂电设备/电机/传感器/机器视觉/光测仪器，半导体业务边缘,逐只复核，报告倾向删或单列配套
688610,埃科光电,锂电设备/电机/传感器/机器视觉/光测仪器，半导体业务边缘,逐只复核，报告倾向删或单列配套
002338,奥普光电,锂电设备/电机/传感器/机器视觉/光测仪器，半导体业务边缘,逐只复核，报告倾向删或单列配套
000032,深桑达A,洁净室工程，现挂「半导体设备」,报告建议新增「半导体工程服务」/「半导体配套设备」子类后迁移，核心工艺设备口径收紧
601133,柏诚股份,洁净室工程，现挂「半导体设备」,报告建议新增「半导体工程服务」/「半导体配套设备」子类后迁移，核心工艺设备口径收紧
603163,圣晖集成,洁净室工程，现挂「半导体设备」,报告建议新增「半导体工程服务」/「半导体配套设备」子类后迁移，核心工艺设备口径收紧
603929,亚翔集成,洁净室工程，现挂「半导体设备」,报告建议新增「半导体工程服务」/「半导体配套设备」子类后迁移，核心工艺设备口径收紧
301235,华康洁净,洁净室工程，现挂「半导体设备」,报告建议新增「半导体工程服务」/「半导体配套设备」子类后迁移，核心工艺设备口径收紧
600667,太极实业,洁净室总包(十一科技)，另持存储封测标签，现挂「半导体设备」,报告建议新增「半导体工程服务」/「半导体配套设备」子类后迁移，核心工艺设备口径收紧
603324,盛剑科技,环保设备，现挂「半导体设备」,报告建议新增「半导体工程服务」/「半导体配套设备」子类后迁移，核心工艺设备口径收紧
002881,美格智能,模组厂被标「端侧ai芯片」（非芯片股）,要么删标签，要么把 concept 改名「端侧AI」（报告给两个选项）
300638,广和通,模组厂被标「端侧ai芯片」（非芯片股）,要么删标签，要么把 concept 改名「端侧AI」（报告给两个选项）
603236,移远通信,模组厂被标「端侧ai芯片」（非芯片股）,要么删标签，要么把 concept 改名「端侧AI」（报告给两个选项）
300493,润欣科技,分销厂被标「端侧ai芯片」（非芯片股）,要么删标签，要么把 concept 改名「端侧AI」（报告给两个选项）
688262,国芯科技,挂「其他算力芯片|端侧ai芯片|算力芯片」三标签冗余，「其他算力芯片」为垃圾桶标签,"报告建议废除""其他算力芯片""并入「算力芯片」或按实际改""嵌入式CPU""，合并为1个主标签（给多个选项）"
688416,恒烁股份,NOR为主，现挂「存储芯片-DRAM|存储芯片」，报告明确-DRAM仅留君正/兆易,"若删DRAM+父标签则清空，报告仅""可新增存储芯片-NOR""（非确定），转人工定夺"
688766,普冉股份,NOR为主，现挂「存储芯片」,"报告建议""可新增存储芯片-NOR""（非确定）"
002821,凯莱英,医药CDMO主业标AI应用，高置信错配,报告称'移除或改AI制药（存疑）'，需确认是否打AI制药标签后再定
300067,安诺其,染料主业标算力租赁,有算力收购动作，报告'降级保留可议'，待owner定夺
002042,华孚时尚,纺织主业标算力租赁，但有智算中心实质布局,报告建议降级为'跨界实质'保留观察，不宜直接移除
000034,神州数码,IT分销+昇腾算力，SaaS标签不贴切,报告'归算力租赁或改concept'二选一未定
300571,平治信息,concept=短剧|算力租赁，主业通信服务+算力,报告'category可改算力租赁或保留但去短剧主标'，二选一未定
002439,启明星辰,网络安全公司标SaaS软件与服务,报告建议concept改'云安全/安全即服务'或移出本组
688023,安恒信息,同上（网络安全标SaaS）,同上
688561,奇安信-U,同上（网络安全标SaaS）,同上
300560,中富通,通信代维标IaaS基础设施服务，牵强,报告标'存疑复核'
301236,软通动力,通用IT外包（华为生态）标金融IT，金融科技占比小,报告'可保留但注明，或移出'，边界未定
000681,视觉中国,business_summary字段张冠李戴（写成反渗透膜公司），标签本身合理,修复summary字段（数据污染源问题），非标签操作
300418,昆仑万维,标Minimax但实为自研天工，另有'其他'垃圾桶段,逐只复核生态归属，疑似蹭标
002230,科大讯飞,标'微软生态'但实为星火自研,逐只复核生态归属
300226,上海钢联,Minimax关联弱,疑似蹭标，复核
688229,博睿数据,Minimax关联弱,疑似蹭标，复核
605277,新亚电子,线缆主业标'甲骨文生态',疑似蹭标，复核
600837,海通证券,已退市（2025-03-04终止上市，被国泰君安吸收合并）但仍在watchlist，结构层漏删,整只删除；存续实体601211国泰海通已在列表，无缺口
-,命名政策·生态后缀,Minimax(9只)等生态标签无'生态'后缀，格式不统一,报告建议统一'XX生态'格式（Minimax→Minimax生态），涉及面广宜单独决策
-,命名政策·垃圾桶/短剧,'其他'x5、'智慧AI'x4、'自研'x2；44只'短剧'与AI应用语义脱节；80只concept=category零区分度裸标,报告建议逐只定名/改'AI短剧'或单列/按场景细化，均为组级重构需单独排期
688075,安旭生物,锂电池/正极材料 vs 主营体外诊断，明显错配,人工复核，倾向移出
000790,华神科技,锂电池/电解液 vs 主营医药制造，明显错配,人工复核，倾向移出
600969,郴电国际,算力金属/锡 vs 主营电力供应（郴州产锡≠公司产锡）,人工复核，倾向移出
600868,梅雁吉祥,算力金属/镓 vs 主营水电，明显错配,人工复核，倾向移出
601890,亚星锚链,算力金属/钨 vs 主营船用锚链，明显错配,人工复核，倾向移出
000510,新金路,算力金属/镓 vs 主营PVC/氯碱，存疑,人工复核
000751,锌业股份,算力金属/锑 vs 主营锌冶炼，副产小金属待证,人工复核
000688,国城矿业,算力金属/铜 vs 主营铅锌钼为主，存疑,人工复核
000570,苏常柴A,锂电池/其他关键材料及设备 vs 柴油机（仅参股厚生新能源隔膜）,人工复核（参股性质，标签偏勉强）
002076,星光股份,锂电池/其他关键材料及设备 vs 主营照明，存疑,人工复核
300281,金明精机,锂电池/其他关键材料及设备 vs 主营薄膜设备，存疑,人工复核
600409,三友化工,锂电池/电解液 vs 纯碱/粘胶（钠电材料布局），桶位欠准,人工复核
002734,利民股份,锂电池/电解液 vs 农药主业，转型型,人工复核业务落地情况
