title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Volume weighted average price (vwap) the holy grail for day trading systems,"C Zarattini, A Aziz",2023,9,"… % loss, likely attributed to a meanreverting day with numerous false VWAP breaks. For TQQQ, the … This research reaffirms the significance of VWAP in intraday trading over the specified …",MMy1VgFJRGgJ,"C Zarattini, A Aziz - Available at SSRN 4631351, 2023 - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4631351'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4631351,unknown,unknown
Momentum Exhaustion and Fair Value Reversion: An ADX-conditioned VWAP Strategy in FX Markets,A Bhatti,2026,0,"… markets that exploits intraday mean reversion toward a volume-… from the Volume Weighted Average Price (VWAP), and trend … on mean reversion in FX markets, VWAP-based strategies, …",FpO-mepB9r0J,"A Bhatti - Available at SSRN 6454659, 2026 - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=6454659'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6454659,unknown,unknown
On-line VWAP trading strategies,"CD Fuh, HW Teng, RH Wang",2010,11,"… in a data set that includes the top 20 liquidity stocks based on intra-day data from the TEJ. The time period is from January 2 to December 30, 2003. In Table 5, we include the stock ID, …",TgFkZFjOnBgJ,"CD Fuh, HW Teng, RH Wang - Sequential Analysis, 2010 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/07474946.2010.487431,unknown,unknown
Beat the Market An Effective Intraday Momentum Strategy for S&P500 ETF (SPY),"C Zarattini, A Aziz, A Barbon",2024,9,"… , we have chosen to integrate VWAP as a trailing stop for intraday trend exposures2. Once … intraday mean reversion and, consequently, lower returns for our intraday momentum strategy…",LkfyYTyNYswJ,"C Zarattini, A Aziz, A Barbon - Swiss Finance Institute Research …, 2024 - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4824172'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4824172,unknown,unknown
"Book of Trading Strategies: 200 Proven Popular and Lesser Known Intraday, Swing and Positional Trading Strategies",S Singh,2025,0,"… percent or more below VWAP and forms a bullish reversal candle. … strategies are built purely on technical signals and patterns, offering a balanced mix of trend following, mean reversion…",MlTwmGiIg8QJ,S Singh - 2025 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=YsVuEQAAQBAJ&oi=fnd&pg=PT7&dq=VWAP+mean+reversion+intraday+strategy&ots=5eXgUwUBYq&sig=-lHG0MgAtWcbPUejTqH_RsWRPaY,unknown,unknown
A Regime-Filtered Intraday Trading Framework for Gold: Integrating VWAP Microstructure and EMA-Based Dynamic Exit Mechanisms,A Bhatti,2026,0,… ranging periods produce average win R-multiples of only +0.68R against average losses of −… the importance of the VWAP-EMA strategy’s two key differentiators: the VWAP filter and 200 …,6k4I4ZJFOoMJ,"A Bhatti - Available at SSRN 6650958, 2026 - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=6650958'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6650958,unknown,unknown
Hierarchical deep reinforcement learning for VWAP strategy optimization,"X Li, P Wu, C Zou, Q Li",2023,14,"… The foundational VWAP strategy is a typical impactdriven algorithmic trading strategy focusing on predicting intra-day volume … The expected average trading price is the VWAP, …",PbF7Jyjo_UUJ,"X Li, P Wu, C Zou, Q Li - IEEE Transactions on Big Data, 2023 - ieeexplore.ieee.org",['https://arxiv.org/pdf/2212.14670'],https://ieeexplore.ieee.org/abstract/document/10336391/,unknown,unknown
"Optimal VWAP Execution: A Synthesis of Stochastic Control, Forecasting, and Adaptive Trading",N Singh,2026,1,… on the precision of intra-day market volume forecasting. Accurate volume forecasting is the most critical input for any successful VWAP execution strategy. Because a VWAP algorithm’s …,i3VSIA6wbZUJ,"N Singh - Forecasting, and Adaptive Trading (January 03, 2026), 2026 - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=6091906'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6091906,unknown,unknown
Intraday Stock Return Prediction: A Comparative Study of Econometrics and Machine Learning Models,Z Hashemi,2025,0,"… To address this, we implemented an efficient indatabase computation strategy WRDS Jupyterhub: VWAP values were calculated directly on the WRDS data servers using SQL …",ulwvbTeeNGgJ,Z Hashemi - 2025 - biblos.hec.ca,['https://biblos.hec.ca/biblio/memoires/hashemi_zahrasadat_m2025.pdf'],https://biblos.hec.ca/biblio/memoires/hashemi_zahrasadat_m2025.pdf,unknown,unknown
"Maximum Trading Gains With Anchored VWAP: The Perfect Combination of Price, Time & Volume",B Shannon,2023,1,"… trading, tick data is the absolute accurate number for VWAP because it averages every … active of intraday scalpers, a 1minute period is short enough to understand the VWAP intraday. …",FDWBkjhFUxIJ,B Shannon - 2023 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=9oWrEAAAQBAJ&oi=fnd&pg=PT19&dq=VWAP+mean+reversion+intraday+strategy&ots=LGDXG8G5TP&sig=ri5KYIqMlydO9I42_R045M_yVh4,unknown,unknown
