title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Hierarchical Execution Architectures in Transformer-Driven Algorithmic Trading: Bridging the Signal-to-Profit Gap via Dynamic Sub-Trade Lot Allocation,A Aremu,2026,0,"… The allure of algorithmic trading lies in its promise to remove human cognitive bias from the investment process. In the last decade, the introduction of the Transformer architecture has …",9ICDLW8sVQkJ,A Aremu - 2026 - researchgate.net,['https://www.researchgate.net/profile/Abiodun-Aremu-3/publication/399563305_Hierarchical_Execution_Architectures_in_Transformer-Driven_Algorithmic_Trading_Bridging_the_Signal-to-Profit_Gap_via_Dynamic_Sub-Trade_Allocation/links/6a614500303c7d450cb04899/Hierarchical-Execution-Architectures-in-Transformer-Driven-Algorithmic-Trading-Bridging-the-Signal-to-Profit-Gap-via-Dynamic-Sub-Trade-Allocation.pdf'],https://www.researchgate.net/profile/Abiodun-Aremu-3/publication/399563305_Hierarchical_Execution_Architectures_in_Transformer-Driven_Algorithmic_Trading_Bridging_the_Signal-to-Profit_Gap_via_Dynamic_Sub-Trade_Allocation/links/6a614500303c7d450cb04899/Hierarchical-Execution-Architectures-in-Transformer-Driven-Algorithmic-Trading-Bridging-the-Signal-to-Profit-Gap-via-Dynamic-Sub-Trade-Allocation.pdf,unknown,unknown
A typified greedy dynamic programming model for the metatrader platform,DA Oyemade,2020,1,"… A major contribution and novelty of this work is the proposal of a hybrid greedy and dynamic programming algorithms for the profit optimization of the take profit, stop loss and pending …",BtAEQChEGiEJ,"DA Oyemade - Journal of Advances in Mathematical and …, 2020 - phnd.fupre.edu.ng",['https://phnd.fupre.edu.ng/ugd/185b0a_c6922241213f4d1f9b93842248d81a67.pdf'],https://phnd.fupre.edu.ng/ugd/185b0a_c6922241213f4d1f9b93842248d81a67.pdf,unknown,unknown
Adabot: An Adaptive Trading Bot Using an Ensemble of Phase-Specific Few-Shot Learners to Adapt to the Changing Market Dynamics,"V Upadhyay, A Paul",2024,0,"… changer in the realm of algorithmic trading. However, designing a consistently profitable algorithmic trading system (ATS) is challenging because of the dynamic and stochastic nature of …",hojK2BN1748J,"V Upadhyay, A Paul - International Conference on Pattern Recognition, 2024 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-78107-0_4,unknown,unknown
A Spatio-Temporal Deep Reinforcement Learning Framework for Algorithmic Trading Using Genetically Evolved Dynamic Knowledge Graphs,"F Yousefloie, A Tavassolian…",2026,0,"… and non-stationary behavior challenges traditional, static algorithmic trading … for algorithmic trading. At each time step, our system employs a genetic algorithm to construct a dynamic …",luhx_KlMwm4J,"F Yousefloie, A Tavassolian… - … Health, Finance and …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11620868/,unknown,unknown
"Multi-objective genetic programming-based algorithmic trading, using directional changes and a modified sharpe ratio score for identifying optimal trading strategies","X Long, M Kampouridis, T Papastylianou",2026,2,"… in algorithmic trading tend to overlook the integration of event-based DC frameworks with evolutionary methods like GP, limiting their adaptability in volatile and dynamic market …",kbS-25V05RoJ,"X Long, M Kampouridis, T Papastylianou - Artificial Intelligence Review, 2026 - Springer",['https://link.springer.com/content/pdf/10.1007/s10462-025-11390-9.pdf'],https://link.springer.com/article/10.1007/s10462-025-11390-9,unknown,unknown
Portfolio dynamic trading strategies using deep reinforcement learning: M.-Y. Day et al.,"MY Day, CY Yang, Y Ni",2024,38,"… Algorithmic trading, financial sentiment analysis and behavioral finance, and financial text mining are commonly used in the field of finance. Regarding reinforcement learning, a kind of …",0fNrWSFp3SoJ,"MY Day, CY Yang, Y Ni - Soft Computing, 2024 - Springer",[],https://link.springer.com/article/10.1007/s00500-023-08973-5,unknown,unknown
How do individual investors trade?,"I Nolte, S Nolte",2016,36,"… This paper examines how high-frequency trading decisions of individual investors are influenced by past price changes. Specifically, we address the question as to whether decisions to …",4yWNT3fTrlEJ,"I Nolte, S Nolte - High Frequency Trading and Limit Order Book …, 2016 - taylorfrancis.com",[],https://www.taylorfrancis.com/chapters/edit/10.4324/9781315737676-16/individual-investors-trade-ingmar-nolte-sandra-nolte,unknown,unknown
Ai powered indicatorless algorithmic trading bot for cryptocurrency and financial market,"AO Olorunsheye, SP Meenakshi",2024,5,"… Until the trade in the loop of 400 is exhausted, algorithm will continue to alternate dynamically from buy and sell in anticipation for a clear trend that will go to our take profit even before …",BGou4Ham3jQJ,"AO Olorunsheye, SP Meenakshi - … International Conference on …, 2024 - ieeexplore.ieee.org",['https://www.researchgate.net/profile/Olushola-Akinlemi/publication/381202901_AI_Powered_Indicatorless_Algorithmic_Trading_Bot_for_Cryptocurrency_and_Financial_Market/links/6a096d46ffeb2910364b9a36/AI-Powered-Indicatorless-Algorithmic-Trading-Bot-for-Cryptocurrency-and-Financial-Market.pdf'],https://ieeexplore.ieee.org/abstract/document/10544055/,unknown,unknown
How machine learning can drive high frequency algorithmic trading for technology stocks,MH Sazu,2022,47,"The objective of this paper is to present an innovative method, based on deep machine learning (DRL), to resolve the algorithmic trading issue of figuring out the perfect trading place at …",qsqWefdlaGwJ,"MH Sazu - International Journal of Data Science and Advanced …, 2022 - ijdsaa.com",['http://ijdsaa.com/index.php/welcome/article/download/97/26'],http://ijdsaa.com/index.php/welcome/article/view/97,unknown,unknown
Design and implementation of an automated Forex trading system based on dynamic strategy and custom technical indicators,HC Tu,2025,0,… that adapts to market dynamics and incorporates robust risk … signals; 2) a dynamic trade placement and sizing strategy … related work on algorithmic trading strategies and similar EAs…,MPmnaoF6RrwJ,"HC Tu - Научный журнал НИУ ИТМО. Серия «Экономика и …, 2025 - cyberleninka.ru",[],https://cyberleninka.ru/article/n/design-and-implementation-of-an-automated-forex-trading-system-based-on-dynamic-strategy-and-custom-technical-indicators,unknown,unknown
