title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Does intraday time-series momentum exist in Chinese stock index futures market?,"Y Li, D Shen, P Wang, W Zhang",2020,29,"… the intraday time-series momentum in China is at least two-fold. First, all of the current studies use an equity … intraday momentum exists in China. But testing the economic significance of …",GcBcsNvH-HwJ,"Y Li, D Shen, P Wang, W Zhang - Finance Research Letters, 2020 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1544612319304337,unknown,unknown
Investor heterogeneity and momentum-based trading strategies in China,"Y Gao, X Han, Y Li, X Xiong",2021,40,"… past intraday (overnight) losers in the subsequent intraday (overnight) periods. However, the same intraday- (overnight-) momentum … (intraday) periods. Further analysis shows that past …",q07n38nxX6MJ,"Y Gao, X Han, Y Li, X Xiong - International Review of Financial Analysis, 2021 - Elsevier",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=3665443'],https://www.sciencedirect.com/science/article/pii/S1057521920302957,unknown,unknown
Asymmetric attention and asymmetric overnight momentum in China's stock market,"F Su, F Wang, L Zhai, Y Zhou…",2026,1,"… The third investment strategy is the daily-rebalancing asymmetric overnight momentum strategy; that is, if the intraday returns of market portfolios are negative, we sell the …",h6vSfepeHXIJ,"F Su, F Wang, L Zhai, Y Zhou… - Asia-Pacific Journal of …, 2026 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/16081625.2025.2479509,unknown,unknown
Systematic momentum: A new class of price patterns,"SZ Li, P Yuan, G Zhou",2026,4,"… First, they analyze momentum at the monthly frequency, and we study intraday price … stock sample comprises more than 90% of the total market cap of all stocks in the US equity market …",C1pkJS69pc4J,"SZ Li, P Yuan, G Zhou - Management Science, 2026 - pubsonline.informs.org",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4062260'],https://pubsonline.informs.org/doi/abs/10.1287/mnsc.2024.08236,unknown,unknown
"Factor beta, overnight and intraday expected returns in China","Z Ye, D Jiang, Y Luo",2023,6,"… share markets, we find that the Fama-French five-factor betas and expected returns exhibit contrasting relationships overnight versus intraday… additionally includes the momentum factor (…",ti0W95R0IBEJ,"Z Ye, D Jiang, Y Luo - Global Finance Journal, 2023 - Elsevier",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4138715'],https://www.sciencedirect.com/science/article/pii/S1044028323000224,unknown,unknown
Institutional ownership and momentum in the Chinese A-share market,"T Xiong, P Wang",2023,13,"… momentum effect exists significantly over a period of 3 ∼ 12 months (Mortal and Schill, 2018). The momentum effect in China’s A-share market … the nature of China’s stock market — the …",X-RJFrn_frMJ,"T Xiong, P Wang - Pacific-Basin Finance Journal, 2023 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0927538X23000860,unknown,unknown
"Interday and intraday volatility: Additional evidence from the Shanghai Stock Exchange: GG Tian, M. Guo","GG Tian, M Guo",2007,100,"… of the Chinese stock markets using intraday data. China’s stock exchanges are relatively … attributable to spreads, market impact, price discovery and momentum trading. The theoretical …",hayeaoVNDvoJ,"GG Tian, M Guo - Review of Quantitative Finance and Accounting, 2007 - Springer",['https://papers.ssrn.com/Sol3/Delivery.cfm/SSRN_ID2494089_code117667.pdf?abstractid=981809'],https://link.springer.com/article/10.1007/s11156-006-0011-x,unknown,unknown
Do order imbalances predict intraday returns? New evidence from the Chinese stock market,"T Zhang, C Xie, GJ Wang",2025,0,"… the Chinese stock market, we investigate whether order imbalances predict intraday returns. … stock returns from 5 to 30 minutes; (ii) the predictive relation between order imbalances and …",Ya72pvEtd9wJ,"T Zhang, C Xie, GJ Wang - Asia-Pacific Journal of Accounting & …, 2025 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/16081625.2025.2604824,unknown,unknown
Overnight-intraday mispricing of Chinese energy stocks: A view from financial anomalies,"M Zhou, X Liu",2022,5,… investigate the overnight-intraday effect of trading strategies in the … stocks using the China A-shares stocks as our sample. … overnight/intraday abnormal return of the momentum anomaly. …,Klawfk0fVDgJ,"M Zhou, X Liu - Frontiers in Energy Research, 2022 - frontiersin.org",['https://www.frontiersin.org/journals/energy-research/articles/10.3389/fenrg.2021.807881/pdf'],https://www.frontiersin.org/journals/energy-research/articles/10.3389/fenrg.2021.807881/full,unknown,unknown
Short-term market reaction after trading halts in Chinese stock market,"HC Xu, W Zhang, YF Liu",2014,22,"… trading halts, namely intraday halts, one-day halts and inter-day halts, of 203 stocks in Shanghai Stock Exchange … Which type of halts is suitable for momentum strategies? Which type of …",orSGNPFR3BoJ,"HC Xu, W Zhang, YF Liu - Physica A: Statistical Mechanics and its …, 2014 - Elsevier",['https://arxiv.org/pdf/1309.1138'],https://www.sciencedirect.com/science/article/pii/S0378437114000569,unknown,unknown
