title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Night trading momentum and determinants of predictability: Evidence from Chinese metal futures market,"E Bouria, G Mab, Y Xuc, ZI Zhoud",,0,"… trading in China from the perspective of return predictability. … believe that the first half-hour return of the Chinese metal futures … first half hour, the intraday momentum exists in the Chinese …",Bzt3ovQ7ruAJ,"E Bouria, G Mab, Y Xuc, ZI Zhoud - acfr.aut.ac.nz",['https://acfr.aut.ac.nz/__data/assets/pdf_file/0008/686816/4a-Z-Ivy-Zhou.pdf'],https://acfr.aut.ac.nz/__data/assets/pdf_file/0008/686816/4a-Z-Ivy-Zhou.pdf,unknown,unknown
"Block trading, information asymmetry, and the informativeness of trading: evidence from Chinese security markets","N Pan, H Zhu",2015.0,13,"… first half-hour of the trading day. Then, we calculate the measure for block trades occurring in the first half-hour … block trades occurring in five other half-hour intervals of the trading day (…",VeXtJOAVen8J,"N Pan, H Zhu - China finance Review international, 2015 - emerald.com",[],https://www.emerald.com/cfri/article/5/3/215/101458,unknown,unknown
Exploring Rest-of-Day Return Predictability in China's CSI 800 Index,H Wang,2025.0,0,… This paper investigates an intraday momentum trading strategy based on the Rest-of-Day (ROD) return within the Chinese CSI 800 index. Utilizing minute-level data from April 2024 to …,5Z1M5cj-2tQJ,"H Wang - Available at SSRN 5237483, 2025 - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5237483'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5237483,unknown,unknown
Intraday momentum and return predictability: Evidence from the crude oil market,"Z Wen, X Gong, D Ma, Y Xu",2021.0,33,"… Third, we find that the predictive power of the first half-hour returns is stronger when the first half hour’s trading has higher realized volatility, higher trading volume, and significant …",zDTVMu82k6wJ,"Z Wen, X Gong, D Ma, Y Xu - Economic Modelling, 2021 - Elsevier",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=3553682'],https://www.sciencedirect.com/science/article/pii/S0264999319310417,unknown,unknown
Does intraday high-frequency investor sentiment help forecast stock returns? Evidence from the MIDAS models,"X Chu, Y Gu",2026.0,10,"… , scholars pay special attention to sentiment during trading hours. … returns prediction. In this section, we divide investor sentiment into trading hours’ sentiment and non-trading hours’ …",rfCMeQ1rZ3wJ,"X Chu, Y Gu - China Finance Review International, 2026 - emerald.com",[],https://www.emerald.com/cfri/article-pdf/16/1/204/11247436/cfri-12-2023-0344en.pdf,unknown,unknown
Execution Matters: Behavioral Patterns and Return Predictability of Retail Pseudo T+ 0 Trading,"X Sun, T Li",,0,"… Utilizing tick-by-tick data from the Chinese A-share market, we uncover the profound heterogeneity masked by aggregate metrics, particularly among small retail investors. By …",MxWck4x1kOIJ,"X Sun, T Li - Available at SSRN 7272437 - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=7272437'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7272437,unknown,unknown
Does CNN-Based Feature Extraction Improve High-Frequency Return Prediction? Evidence from the CSI 300 Index,"F Zhang, H Wang",2026.0,0,This study investigates whether CNN-based front-end feature extraction improves the predictive performance of deep learning models applied to 1 min intraday CSI 300 index data. …,-dMi0h_U8EIJ,"F Zhang, H Wang - Journal of Risk and Financial Management, 2026 - mdpi.com",[],https://www.mdpi.com/1911-8074/19/5/371,unknown,unknown
The impact of intraday momentum on stock returns: Evidence from S&P500 and CSI300,"S Hossain, B Gavurová, X Yuan…",2021.0,7,… on the predictability of the market’s first half-hour returns based to the market’s final … China stock markets. Researchers are interested in investigating the return predictability through an …,RMLnNGtova8J,"S Hossain, B Gavurová, X Yuan… - E&M Economics …, 2021 - researchportal.murdoch.edu.au",['https://researchportal.murdoch.edu.au/esploro/fulltext/journalArticle/The-impact-of-intraday-momentum-on/991005544842407891?repId=12136469670007891&mId=13136735550007891&institution=61MUN_INST'],https://researchportal.murdoch.edu.au/esploro/outputs/journalArticle/The-impact-of-intraday-momentum-on/991005544842407891,unknown,unknown
Night trading and market quality: Evidence from Chinese and US precious metal futures markets,"Y Jiang, N Kellard, X Liu",2020.0,37,"… an aggregation of information since it trades almost continuously. Furthermore, we find that US zero returns are at their highest when the Chinese … with that of the Chinese market. Taken …",GbcojwFSoEoJ,"Y Jiang, N Kellard, X Liu - Journal of Futures Markets, 2020 - Wiley Online Library",['https://onlinelibrary.wiley.com/doi/pdf/10.1002/fut.22147'],https://onlinelibrary.wiley.com/doi/abs/10.1002/fut.22147,unknown,unknown
When Does Intraday Options Trading Predict Stock Returns?,"TC Lin, X Luo, S Shao",2026.0,0,"… participants at China Derivatives Youth Forum and The Chinese University … , we find that the return predictability mainly comes from OTM … O/S ratio in the first half hour when an earnings …",b77gzPBXjjAJ,"TC Lin, X Luo, S Shao - Available at SSRN 7318198, 2026 - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=7318198'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7318198,unknown,unknown
