title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Sentiment-Driven Extreme Price Fluctuations and Portfolio Performance: Evidence via the Joint Poisson Mixed Model,"Z Xue, S Zhu, S Li",2026.0,0,… of extreme price behaviors in China’s A-share market. Using the annual frequency of … study explores the long-term impact of investor sentiment on individual stocks’ limit-up and …,aIf3WpsgRAQJ,"Z Xue, S Zhu, S Li - Finance Research Letters, 2026 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1544612326011116,unknown,unknown
"AI-Driven Retail Trading and the Institutional Complementarity Trap: Why China's Market Reform Requires Simultaneous, Not Delayed, Change","M Wang, P Braslavski, DI Ignatov",2026.0,0,"… A striking feature of China’s stock market is the rapid proliferation of AI-driven retail trading tools—from intelligent stock-… Price limits create “magnet effects” and trading halts, distorting …",ReESTZtM7xwJ,"M Wang, P Braslavski, DI Ignatov - 2026 - researchsquare.com",['https://www.researchsquare.com/article/rs-10448366/latest.pdf'],https://www.researchsquare.com/article/rs-10448366/latest,unknown,unknown
"Queueing for a lottery: limit-up gaming, retail coordination, and the registration-based listing reform in China",W Butuan,,0,… Daily price limits are usually evaluated as a volatility-… We study limit-up gaming in Chinese A-shares using 5.84 million stock-… price limits has documented magnet effects and post-limit …,Yb68Bnw12O8J,W Butuan - Available at SSRN 7439067 - papers.ssrn.com,['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=7439067'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7439067,unknown,unknown
"Market Effects of Price Limits in the Chinese Stock Market: Evidence from the Shanghai, Shenzhen, and Beijing Stock Exchanges","Z Wu, Y Xiao",2026.0,0,"… Stock Exchange observed that price limits induce a magnetic effect:stock prices accelerate toward the limit … examine the practical effects of China's price limit system, providing scientific …",dO0vBKGdbqwJ,"Z Wu, Y Xiao - Journal of Modern Social Sciences, 2026 - atripress.org",['https://www.atripress.org/jmss/article/download/596/278'],https://www.atripress.org/jmss/article/view/596,unknown,unknown
A theoretical study of market performance under price limits and circuit breakers in Chinese stock market,X Hu,2020.0,2,"… , magnet effect doesn’t explain the severe drop in Chinese market, as we already have another market microstructure measurement in market: price limits. … The market crash in China …",bMseHE_oj1QJ,"X Hu - Theoretical Economics Letters, 2020 - scirp.net",['https://www.scirp.net/pdf/tel_2020022614435217.pdf'],https://www.scirp.net/pdf/tel_2020022614435217.pdf,unknown,unknown
Institutional Shocks and GARCH Mis-specification: Evidence from China's 2016 Circuit Breaker Episode and AH Dual-Listed Pairs,F Yang,2026.0,0,"… ±10% daily price limit on most A-share securities, with tighter ±5% limits applied to special-… ""magnet effect"" behavior documented in related price-limit contexts, led the China Securities …",3XLO50Xfn2oJ,"F Yang - Available at SSRN 7137098, 2026 - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=7137098'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7137098,unknown,unknown
"Residual dependency after diversification: Japan, China and the midstream power of rare earths",V Vivoda,2026.0,0,"… , China exported 5,649 tonnes of rare earth magnets globally … the finding that the 2010 restrictions were blunt and partly self… with the effect strongest for material sourced from China. This …",bphcQyUFMB8J,"V Vivoda - The Pacific Review, 2026 - Taylor & Francis",['https://www.tandfonline.com/doi/pdf/10.1080/09512748.2026.2712405'],https://www.tandfonline.com/doi/abs/10.1080/09512748.2026.2712405,unknown,unknown
Fund Holding Concentration and Liquidity Constraints of Small-Cap Stocks in a Market Crisis. Evidence from China's A-Share Market in Early 2024,J Liua,2026.0,0,"… to one when a stock closes at the lower price limit and turnover falls below a stock-specific pre… The magnet effect of price limits: A logit approach. Journal of Empirical Finance, 16(5), 830-…",gOTOcOl87nkJ,"J Liua - Journal of Advanced Academic Research and Studies …, 2026 - nlbaeai.org",['http://www.nlbaeai.org/static/upload/file/20260820/1787208648467929.pdf'],http://www.nlbaeai.org/static/upload/file/20260820/1787208648467929.pdf,unknown,unknown
When Prices Cannot Fall: Asymmetric Price Limits and the Information Content of Trading Volume,AS Haji Mohamad Zubir…,2026.0,0,… operates two layers of price limits on ordinary shares. A static … and Singapore incorporated China based issuers that list on … relate both to the magnet effect evidence for Bursa Malaysia (…,YrGSn8ChkfgJ,"AS Haji Mohamad Zubir… - … : Asymmetric Price Limits …, 2026 - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=7129518'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7129518,unknown,unknown
Review on the parameters of recycling NdFeB magnets via a hydrogenation process,"A Habibzadeh, MA Kucuker, M Gökelma",2023.0,95,"… Regarding the restrictions recently imposed by China on the … cobalt price, an alternative to SmCo permanent magnets was … HD commercial grade 42H of NdFeB magnet study the effect …",7xr2F8e6LxEJ,"A Habibzadeh, MA Kucuker, M Gökelma - ACS omega, 2023 - ACS Publications",['https://pubs.acs.org/acsodf/article-pdf/8/20/17431/4077647/ao3c00299.pdf'],https://pubs.acs.org/acsodf/article-abstract/8/20/17431/407376,unknown,unknown
